"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20779","Filter users by Enabled status shows at least one result","bdd:chromium","2026-04-24","failed","2026-04-24","OrangeHRM — Admin user search","../.features-gen/bdd:chromium/features/orangehrm/03-admin-user-search.feature.spec.js","",""
"","19393","Admin adds a new employee with generated data","bdd:chromium","2026-04-24","failed","2026-04-24","OrangeHRM — Employee management via PIM","../.features-gen/bdd:chromium/features/orangehrm/02-employee-management.feature.spec.js","",""
"","1048","visual_user shows subtle layout shifts that visual AI catches","bdd:chromium","2026-04-24","passed","2026-04-24","SauceDemo — Visual regression with Applitools","../.features-gen/bdd:chromium/features/saucedemo/04-visual-regression.feature.spec.js","",""
"","6291","Admin logs in successfully","bdd:chromium","2026-04-24","passed","2026-04-24","OrangeHRM — User authentication","../.features-gen/bdd:chromium/features/orangehrm/01-login.feature.spec.js","",""
"","301","DELETE /posts/:id returns 200 with an empty payload","api","2026-04-24","passed","2026-04-24","jsonplaceholder — posts (CRUD)","api/users-crud.api.test.ts","",""
"","3180","Locked-out user is blocked from logging in","bdd:chromium","2026-04-24","passed","2026-04-24","SauceDemo — User authentication","../.features-gen/bdd:chromium/features/saucedemo/01-login.feature.spec.js","",""
"","5979","Invalid credentials are rejected","bdd:chromium","2026-04-24","passed","2026-04-24","OrangeHRM — User authentication","../.features-gen/bdd:chromium/features/orangehrm/01-login.feature.spec.js","",""
"","946","User sorts the inventory by Price (low to high)","bdd:chromium","2026-04-24","passed","2026-04-24","SauceDemo — Inventory browsing > User sorts the inventory by <sort_label>","../.features-gen/bdd:chromium/features/saucedemo/02-inventory.feature.spec.js","",""
"","362","POST /posts creates a post","api","2026-04-24","passed","2026-04-24","jsonplaceholder — posts (CRUD)","api/users-crud.api.test.ts","",""
"","3247","Empty username triggers validation","bdd:chromium","2026-04-24","passed","2026-04-24","SauceDemo — User authentication","../.features-gen/bdd:chromium/features/saucedemo/01-login.feature.spec.js","",""
"","370","PUT /posts/:id replaces a post","api","2026-04-24","passed","2026-04-24","jsonplaceholder — posts (CRUD)","api/users-crud.api.test.ts","",""
"","241","Missing resource returns 404 — stand-in for negative auth","api","2026-04-24","passed","2026-04-24","jsonplaceholder — auth-shaped contracts","api/auth.api.test.ts","",""
"","34","GET /users returns the user list","api","2026-04-24","passed","2026-04-24","jsonplaceholder — users (read)","api/users.api.test.ts","",""
